X,P,alpha,Y,Z,delta_Zwhz,delta_Zwhx,delta_Zwbez,delta_Xwhx,delta_Xwhz,delta_Xwbex,delta_Xkacn,delta_XH,delta_XT,delta_XTsz,delta_XTbic,theta_c,vc,tc,Ba,Bbe
0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,26,,25,6,12,1,2,12,561,1,73,1,2,55,33,2,387,2,225,5
800,32,,25,6,12,1,2,15,550,2,74,1,2,56,33,2,381,2,220,6
1000,38,,30,5,12,1,2,18,539,2,76,2,3,56,33,2,375,3,215,7
1200,44,,30,5,12,2,2,20,528,2,77,2,3,56,33,3,369,4,210,8
1400,50,,30,4,12,2,3,22,517,3,79,2,4,57,29,3,363,4,205,9
1600,57,,30,3,12,2,3,24,506,4,81,3,5,57,29,3,357,5,200,11
1800,64,,35,3,12,2,3,26,495,5,82,3,6,57,25,4,351,5,195,12
2000,72,,40,3,12,2,3,28,484,7,84,3,7,57,25,4,345,6,190,13
2200,80,,45,3,12,2,3,30,474,10,85,3,9,58,25,5,340,6,185,14
2400,88,,55,3,12,2,3,31,464,13,87,4,11,58,25,5,335,7,180,15
2600,96,,65,2,12,2,3,32,454,17,88,4,14,58,25,6,330,7,175,17
2800,104,,80,2,12,2,3,33,444,22,89,5,17,59,22,7,326,8,171,18
3000,113,,95,1,12,2,3,34,434,28,91,6,21,59,22,7,322,9,167,19
3200,122,,110,1,12,2,3,35,424,34,92,7,25,59,22,8,318,10,163,20
3400,131,,125,1,12,2,3,36,414,40,93,8,29,60,22,9,315,10,159,22
3600,140,,140,0,12,2,4,37,404,46,94,9,33,60,22,9,312,11,155,23
3800,149,,155,0,12,3,4,39,395,52,96,9,37,61,22,10,309,12,151,24
4000,158,,175,0,12,3,4,41,386,58,97,9,41,62,20,11,306,12,147,25
4200,168,,195,-1,12,3,5,43,377,64,98,10,45,62,20,11,303,13,143,26
4400,178,,215,-1,12,3,5,45,368,71,100,10,49,63,20,12,300,14,139,28
4600,188,,235,-2,12,3,5,47,359,78,101,11,53,64,20,13,297,14,135,29
4800,198,,260,-2,12,3,6,49,351,85,102,11,57,65,18,14,295,15,131,30
5000,209,12,285,3,12,3,6,51,344,93,104,12,62,65,18,14,293,16,127,32
5200,220,13,320,3,12,3,6,53,337,101,105,12,67,66,18,15,291,17,123,33
5400,231,13,355,4,12,4,6,54,330,109,106,13,72,66,18,16,289,17,119,35
5600,242,14,390,4,12,4,6,55,323,117,108,14,77,66,18,17,287,18,115,36
5800,253,15,430,5,12,5,6,56,316,126,109,15,82,66,18,18,285,19,111,38
6000,264,15,470,5,12,5,6,57,309,135,111,16,87,67,17,19,283,20,107,39
6200,276,16,510,6,12,5,6,58,301,144,112,17,92,67,17,20,281,21,103,41
6400,288,17,550,7,12,5,6,59,293,153,113,17,97,67,15,21,279,22,99,42
6600,301,18,595,8,12,5,6,59,285,162,115,18,102,67,14,22,277,22,95,43
6800,315,18,645,8,12,5,6,60,277,170,116,19,107,68,14,23,275,23,91,45
7000,329,19,695,9,12,6,7,60,269,178,118,20,112,68,14,24,273,24,87,46
7200,343,20,755,-10,13,7,7,61,261,187,119,21,117,68,13,25,272,25,83,48
7400,358,21,820,-11,13,7,7,61,253,196,121,22,122,68,13,26,271,26,79,50
7600,374,22,890,-12,13,8,7,62,244,205,122,23,127,68,12,27,270,27,75,51
7800,391,23,960,-13,13,8,7,62,235,214,124,24,132,68,12,29,269,28,71,53
8000,408,24,1030,-14,13,8,8,62,225,223,125,25,137,69,11,30,268,29,67,54
8200,426,25,1105,-15,13,9,8,62,213,232,126,26,142,69,11,31,267,30,63,56
8400,445,26,1190,-17,13,9,8,61,199,241,128,27,147,69,10,33,266,31,59,58
8600,465,27,1290,-19,13,9,9,59,185,250,129,29,152,69,10,34,265,33,55,60
8800,486,29,1395,-21,13,10,9,56,170,258,131,31,157,69,9,36,264,34,51,63
9000,509,30,1520,-23,14,11,9,53,154,266,132,33,162,69,8,38,264,35,47,66
9200,534,32,1645,-25,14,12,10,49,138,274,134,35,167,69,7,39,264,37,43,69
9400,562,33,1805,-28,15,13,10,44,118,283,135,37,172,68,6,41,264,39,39,73
9600,598,35,2005,-31,15,14,11,36,92,294,137,39,178,68,2,44,265,41,35,78
9800,700,,2510,-43,16,15,12,17,30,311,138,42,184,67,1,50,266,45,31,84
