,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400,420,440,460,480,500,520,540,560,580,600,620,640,660,680,700,720,740,760,780,800,820,840,860,880,900
-130,3,3,4,5,6,6,7,8,9,10,11,13,15,17,20,22,25,28,31,35,39,44,50,56,64,73,83,94,107,121,136,153,171,190,211,null,null,null,null,null,null,null,null
-120,3,3,3,4,5,6,6,7,8,9,10,12,14,16,18,21,23,26,28,32,36,41,46,52,60,69,78,90,102,116,131,148,165,184,205,null,null,null,null,null,null,null,null
-110,3,3,3,4,4,5,5,6,7,8,9,11,13,15,17,19,21,24,26,29,33,38,43,49,56,65,74,86,97,111,126,142,159,178,199,null,null,null,null,null,null,null,null
-100,2,2,3,3,4,4,4,5,6,7,8,10,12,14,16,18,20,22,24,27,31,35,40,46,53,61,70,81,92,106,121,136,153,172,192,null,null,null,null,null,null,null,null
-90,2,2,2,3,3,3,4,5,6,6,7,9,12,13,15,16,18,20,22,25,29,32,37,43,49,57,66,76,87,101,115,130,147,166,185,null,null,null,null,null,null,null,null
-80,2,2,2,3,3,3,4,4,5,5,6,8,11,12,13,15,17,19,20,23,26,30,34,39,45,52,61,71,82,95,108,124,140,158,177,null,null,null,null,null,null,null,null
-70,1,1,2,2,2,2,3,4,4,5,6,7,10,11,12,14,15,17,18,21,24,27,31,35,41,48,56,65,76,88,101,116,132,150,169,null,null,null,null,null,null,null,null
-60,1,1,1,2,2,2,3,3,4,4,5,6,9,10,11,12,14,15,16,18,21,23,27,31,36,43,51,59,70,81,94,108,124,142,161,null,null,null,null,null,null,null,null
-50,1,1,1,1,1,2,3,3,3,4,4,5,8,9,10,10,12,13,14,15,18,20,23,27,32,38,45,53,63,74,87,100,116,133,153,145,132,null,null,null,null,null,null
-40,0,0,1,1,1,1,2,2,3,3,4,4,7,7,8,8,9,10,11,12,14,16,19,23,27,33,39,47,56,66,78,92,107,124,143,125,113,103,93,null,null,null,null
-30,0,0,0,0,1,1,2,2,2,2,3,3,5,6,6,6,7,8,8,9,11,12,15,18,22,27,33,40,49,58,69,82,96,111,129,103,92,83,74,67,null,null,null
-20,0,0,0,0,0,1,1,1,2,2,2,2,3,4,4,4,5,5,6,6,7,8,10,12,15,19,23,29,37,46,56,66,79,92,108,78,68,60,53,47,42,38,null
-10,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,6,8,10,13,17,22,28,35,44,54,66,80,48,40,34,29,25,22,20,null
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null
10,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,7,10,14,19,24,32,41,null,null,null,null,46,40,35,30,26,23,20,18
20,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,4,4,5,5,5,7,8,10,14,20,29,41,59,null,null,null,null,null,null,null,null,87,68,57,49,42,37
30,0,0,1,1,1,2,2,3,3,4,4,4,5,5,6,6,6,7,7,8,9,11,14,19,26,36,51,75,null,null,null,null,null,null,null,null,null,null,null,100,78,67,59
40,1,1,1,1,2,2,3,4,4,5,5,6,6,7,8,8,9,9,10,12,15,19,25,32,45,63,90,null,null,null,null,null,null,null,null,null,null,null,null,null,125,94,82
50,1,1,2,2,2,3,4,5,5,6,7,7,8,9,9,10,11,12,14,17,22,28,36,46,65,91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,138,108
60,1,2,2,2,3,4,5,6,6,7,8,9,10,10,11,12,13,14,17,21,29,38,48,61,86,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,183,138
70,2,2,3,3,3,5,5,6,7,8,9,10,10,11,12,13,14,16,19,25,36,48,61,79,108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,180
80,2,2,3,3,4,5,6,7,8,9,10,11,11,12,13,14,16,18,22,29,43,58,76,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
90,2,3,3,4,5,6,7,8,9,10,11,12,12,13,14,15,17,20,24,34,50,68,93,123,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
100,3,3,4,5,5,7,8,9,10,10,11,12,13,14,15,16,18,22,27,38,57,80,111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
110,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,24,30,42,64,92,133,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
120,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,22,26,33,46,71,105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
130,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,24,29,37,51,78,119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
